codigo,texto
209,GALENO QUIMICA SAS
210,HIC SAS.
211,MONSER PRODUCTOS FARMACEUTICOS SAS
212,BASS FARMACEUTICA SAS
213,MARKETING LASMA SAS.
214,BDFARMA SAS.
215,VELEZ & GOMEZ SAS. LABORATORIOS VELEZGO
216,SALUS PHARMA LABS SAS.
217,KEVIPHARMA LABORATORIO FARMACEUTICO
218,RPHARM US OPERATING
219,SPECIALITES SEPTODONT SAS
220,KERN PHARMA S.L
221,VIDRIO TÉCNICO DE COLOMBIA SAS VITECO SAS
222,JOINPHARM SAS
223,DAIICHI SANKYO BRASIL FARMACEUTICA LTDA
224,FLORA LAB SAS
225,QUIMICOS ALBOR SAS
226,COSMETIPHARMA DE COLOMBIA SAS
227,GILEAD SCIENCES. INC.
228,UCB PHARMA SAS
229,HEALTH NET SAS
230,NOVALAB SAS.
231,ADVANCE SCIENTIFIC DE COLOMBIA SAS.
232,FEDEFARMA SAS.
233,MACROMED SAS.
234,MAGNOFARMA SAS. EN REORGANIZACION
235,BIOMARIN PHARMACEUTICAL INC
236,TROIKAA PHARMACEUTICALS LIMITED
237,OTOPHARMA SAS
238,PROFMA SAS
239,BRACCO IMAGING S.P.A
240,INTERNACIONAL DE PERFUMERÍAS Y ESPECIALIDADES FARMACEUTICAS SAS.  IPEF SAS.
241,ABBOTT LABORATORIES DE COLOMBIA SAS.
242,LFB BIOMEDICAMENTS
243,SUN PHARMACEUTICAL INDUSTRIES LTD.
244,COASPHARMA SAS.
245,TEYTEPHARMACEUTICALSAS.
246,RPG LIFE SCIENCES LIMITED
247,PERFORMANCE HEALTH LLC
248,CALIER FARMACEUTICA DE COLOMBIA SAS
249,EMCURE PHARMACEUTICALS. LTD
250,QUIRUPOS SAS.
251,GRIFOLS THERAPEUTICS LLC
252,DISPROPHARMA LTDA.
253,SERUM INSTITUTE OF INDIA PVT LTD
254,CLOSTER PHARMA SAS.
255,ORTHOMOLECULAR MEDISEARCH LABORATORIES PTY. LTD
256,MISSION PHARMACAL COMPANY
257,AXON PHARMA SAS.
258,LIPOMED AG
259,AG PHARMACEUTICAL SAS
260,GENOMMA LAB INTERNACIONAL SASB. DE C.V.
261,THERAPEUTICS IRELAND LIMITED
262,SANLY LABORATORIOS SAS
263,ADARE PHARMACEUTICALS INC
264,HB HUMAN BIOSCIENCE SAS.
265,CAMBRIDGE PHARMACEUTICAL SAS.
266,LTC E.U.
267,RODELG LABORATORIOS LTDA
268,LABORARTORIOS RYAN DE COLOMBIA SAS
269,KAMADA LTD
270,RIEMSER PHARMA GMBH
271,SOLARVIT COLOMBIA SAS
272,FARCOPHARMA GMBH
273,ANESPA FARMACEUTICA EU
274,LIMINAL THERAPEUTICS SAS.
275,NUTRABIOTICS SAS
276,EUROMED LABORATORIES
277,NORTH CHINA PHARMACEUTICAL CO LTD
278,JUAN CARLOSSEPULVEDA
279,I LAB SAS.
280,NATURE´S BLEND DE COLOMBIA LTDA
281,NCPC HEBEI HUANIM PHARMACEUTICAL CO LTD
282,AIR LIQUIDE COLOMBIA SAS.
283,SOLMEDICAL SAS
284,ZONEPHARMA SAS.
285,KNOVEL PHARMA SAS
286,SALUSPHARMA LABS SAS.
287,CORZA MEDICAL GMBH
288,NORSTRAY & NUART SAS.
289,DUMIAN MEDICAL SAS.
290,HETERO LABS LIMITED
291,ARMESSO SAS
292,XINETIX PHARMA SAS
293,ISOMEDIX TECHNOLOGY SAS.
294,BIOSPIFAR SAS
295,WILLOW PHARMASAS.
296,ROSBLANK PHARMACEUTICAL SAS.
297,CARE & CURE SAS.
298,APLICACIONES FARMACEUTICAS AFAVEL SAS.
299,SOCIEDAD ALDANKEMI LTDA.
300,CELLTRION INCORPORATED PLANTA 1 (FABRICANTE DEL P.ACTIVO)
301,INMUNOTEK COLOMBIA SAS.
302,SERANEST PHARMA LTDA.
303,RAD NEURIM PHARMACEUTICALS EEC LIMITED
304,GPC PHARMA SAS
305,IMPOFAR LTDA.
306,SEVEN PHARMA COLOMBIA SAS.
307,INTAS PHARMACEUTICALS LIMITED
308,INMUNOPHARMA SAS
309,AQUILABS SAS
310,LEPERPHARM SAS.
311,DISNALET LTDA.
312,GALENICUM HEALTH COLOMBIA SAS
313,SKYPHARMA SAS.
314,GLENMARK PHARMACEUTICALS COLOMBIA SAS
315,COMPAÑIA BAWISS LIMITADA
316,BIOMEDICALPHARMA LTDA.
317,REPRESENTACIONES FARMACEUTICAS DE COLOMBIA REPREFARCO SAS
318,BHARAT SERUMS AND VACCINES LIMITED
319,MOMENTA FARMACEUTICA SAS.
320,LATIN FARMA SA
321,ALTADIS FARMACEUTICA SAS.
322,GENYX SAS.
323,COGAS LTDA
324,VEROS HEALTH SAS.
325,BALANCE PHARMA SAS.
326,RUECAM LTDA
327,ALDA FARMACEUTICA DE COLOMBIA SAS
328,HETEROLABS LIMITED UNIT III
329,BIOLIFE SAS.
330,NOUCOR HEALTH SAS
331,IVE PHARMA SAS.
332,ANDRECOL SAS
333,HAMELN PHARMA GMBH
334,ISDIN COLOMBIA SAS
335,AMAREY NOVA MEDICAL SAS
336,JERONIMO MARTINS COLOMBIA SAS
337,EVER NEURO PHARMA GMBH
338,SETAA PHARMA SAS.
339,CYTOBIOTECK SAS
340,BIIOSMART SAS.
341,JUSTE SASQ.F
342,VEXXOR MEDICAL INC.
343,BIOSELECT SASC.I.
344,AVALON PHARMACEUTICAL S.A
345,BIOCAD HONG KONG LIMITED
346,GRUINFACOL SAS
347,ARIS PHARMA SAS.
348,DISTRIBUCIONES FARMACEUTICAS HERSON SAS
349,ISU ABXIS CO.LTD
350,OXISALUD SAS.
351,MARIA VICTORIA ZAPATA CADAVID
352,BETHEL LABORATORIOS SAS.
353,BRAINPHARMA SAS.
354,SAGPHARMA LTDA
355,WÖRWAG PHARMA GMBH & CO. KG
356,CAPLIN POINT LABORATORIES COLOMBIA SAS.
357,NOVOFAR LAB SAS.
358,PINTPHARMA GESELLSCHAFTM.B.H.
359,EVE DISTRIBUCIONES SAS
360,MEDPHARMA SAS.
361,OXI CALI LTDA.
362,HAD SAS.
363,NEOPHARMA DE COLOMBIA SAS
364,NEXT PHARMA SOURCING SAS.
365,KEMEX S.A
366,BIOSIMILARS NEWCO LIMITED
367,BIOPHARM FARMACEUTICA SAS.
368,GADOR SAS LABORATORIES
369,MEDISEG LABORATORIES SAS.
370,SYNERGY LAB SAS
371,SWISS HERBALL SAS.
372,ULTRAGENYX COLOMBIA SAS
373,GORAM LABORATORIOS SAS.
374,VITAFAR LTDA
375,MYLANLABORATORIES LIMITED
376,REINALDO CACERES ARIZA
377,THERAVIA
378,NECTAR LIFESCIENCES LIMITED
379,DERMAPLUS SAS.
380,GENERIUM SAS
381,GOJO INDUSTRIES INC
382,GENBIE SAS
383,WHESTHER PHARMACEUTICAL S.A
384,VIIV HEALTHCARE UK LIMITED
385,NASHEL SAS
386,TEDECMEIJI FARMA S.A
387,VITACOR PHARMA
388,NORDIC GROUP BV
389,RIDDHIPHARMA SAS
390,BRANDEX INTERNATIONAL SAS
391,SRS LIFE SCIENCES COLOMBIA SAS.
392,ASPITO PHARMALIMITED
393,GENLAB SAS
394,AVEFARMA SAS
395,DKT COLOMBIA SAS.
396,ORPHALAN SAS
397,CLARIPACK SAS
398,KARDU PHARMA SAS
399,BIOXIGEN SAS
400,SP ACCURE LABS PVT. LTD.
401,CADILA HEALTHCARE LIMITED
402,PANACEA BIOTEC PHARMA LIMITED
403,ALATIN RESOURCES INC.
404,MEDICORE PHARMA SAS
405,DIABETRICS HEALTHCARE SAS.
406,MEDICAL DEVELOPMENTS INTERNATIONAL LIMITED
407,HRA PHARMA RARE DISEASES
408,ZYDUS LIFESCIENCES LIMITED
409,VIVUNT PHARMA COLOMBIA SAS
410,JSC GRINDEKS
411,ITALFARMACO S.A
412,DIAGNOSTIC GREEN GMBH
413,REMEDICA LIMITED
414,PTC THERAPEUTICS COLOMBIA SAS
415,UNINOVA S.A
416,LUMEX PHARMA SAS.
417,GENLAT PHARMACEUTICALS GENLAT SAS
418,HOLLAND GROUP SAS
419,AVICANNA LATAM SAS.
420,SK PLASMA CO. LTD.
421,SANOCHEMIA PHARMAZEUTIKA GMBH
422,SOLUCIONES INTEGRADAS & CONSTRUCCIONES BN SAS
423,SERVICIOS DE PROPIEDAD INDUSTRIAL SAS
424,WELDING GMBH & CO KG
425,MANKIND PHARMA LIMITED
426,CHEMI S.P.A
427,TORRENT PHARMACEUTICALS LTD
428,HOMEOPATIA Y VIDA PHARMALAB SAS
429,SANZUB PHARMALAB SAS.
430,REFIMAX SAS.
431,ALPHALAB SAS
432,IWANA GREEN GROUP SAS
433,TOTALMAX SAS
434,PLANTA DE PRODUCCIÓN DE MEDICAMENTOS ESENCIALES Y AFINES  FACULTAD DE CIENCIAS FARMACÉUTICAS Y ALIMENTARIAS  UNIVERSIDAD DE ANTIOQUIA
435,ABIC LTD
436,ABL TRADING INTERNATIONAL LTD.
437,ACCESS BUSINESS GROUP INTERNATIONAL LLC
438,ADHESIVOS INTERNACIONALES SAS  ADHINTER SAS
439,ADLER PHARMA DE COLOMBIA SAS
440,ADMINISTRACION COPERATIVA DE ENTIDAES DE SALUD DE CALDAS COODESCA
441,ADRIANGEL PRODUCTOS NATURALES SAS.
442,AFARMA Y CIA. LIMITADA
443,AGEPHA PHARMA GMBH.
444,ALBERTO ANIBAL TOVAR ZAPATA
445,ALBONOVA SAS
446,ALCOHOLES S.A
447,ALFA VITAMINS LABORATORIES. INC.
448,ALICIA MONTES SIERRA
449,ALLERGAN DE COLOMBIA SAS
450,ALLIANCE MANAGEMENT SOLUTIONS & CO SAS
451,ALMIRALL PRODESFARMA LTDA
452,ALTECH PHARMACEUTICALS SAS
453,AMA DE COLOMBIA COMERCIALIZADORA INTERNACIONAL LTDA.
454,AMARIN TECHNOLOGIES SAS
455,AMLAT F. SOCIEDAD ANONIMA
456,AMSTRONG LABORATORIOS DE MEXICO SAS DE C.V.
457,ANDICARIBE DE COLOMBIA Y CIA. LTDA.
458,ANDINA GENERICOS ANDIGEN LTDA.
459,APOTECARIUM LTDA
460,APTALIS PHARMA SAS.
461,AQUILEA SAS
462,ARAMA LABORATORIOS Y CIA LTDA
463,ARBOLEDA Y ARBOLEDA LIMITADA
464,ARCEM PHARMA SAS
465,ARDILA SIERRA & CIA. S. EN C.
466,ARGOFARM LTDA.
467,ARISTON INDUSTRIAS QUIMICAS E FARMACEUTICAS LTDA.
468,ARMANDO MU¥OZ VILLAMIZAR
469,ARNET PHARMACEUTICAL CORP.
470,ASOCIADOS FARMACEUTICOS LTDA.ASOFARMA
471,ASTA MEDICA AG
472,AURORATORODE SANCHEZCARRERA 38 N°.19 55
473,AVANPHARMA SAS
474,AVENTIS PASTEUR
475,AYRTON SAUNDERS LIMITED
476,BANCELIN CAVARD & CIA LIMITADA. LABORATORIOS ASEPTIC.
477,BARDOT SAS
478,BAXALTA COLOMBIA SAS.
479,BAYERPHARMA A.G.
480,BEAUFOUR IPSEN INDUSTRIE
481,BELISARIO JARA LOZADA
482,BELLON
483,BENDALIS GMBH
484,BERLIMED SAS COMPAÑÍA FILIAL DEL COMERCIALIZADOR JUSTE SASQ.F.
485,BERLOX FARMACEUTICA LTDA.
486,BERNARDO ANTONIO GIRALDO ARROYABE
487,BGP PRODUCTS OPERATIONS GMBH
488,BIODERMIC SAS
489,BIOGARAN
490,BIOPROGRESS TECHNOLOGY LIMITED
491,BIOQUEST DIAGNOSTICA LIMITADA
492,BIOSARTO SAS
493,BIOSYNTEC SAS
494,BIOTECH SAS
495,BLASKOV LTDA.
496,BONNET FARMACOSMETICOS SAS.
497,BONOMERCAD SAS
498,BREMYMG FARMACEUTICA S EN C
499,BROKER INTERNATIONAL LIMITADA
500,BUSTILLO CABRERA & CIA. S. EN C.
501,CADI DISTRIBUCIONES HOSPITALARIAS
502,CADIEP DISTRIBUCIONES SAS
503,CAPITEX SA
504,CARDIOME INTERNATIONAL AG
505,CARLON SAS
506,CARLOS EDUARDO SEPULVEDA GARCIA
507,CELON LABORATORIES PRIVATE LIMITED
508,CENCOSUD COLOMBIA S.A
509,CENTEON PHARMA GMBH
510,CERON MENDEZ DENNIS JAIME
511,CESAR AUGUSTO DIAZ TELLO
512,CHATTEM INC
513,CHEMICALS FARMACEUTICOSLIMITADA.
514,CHEMINOVA COLOMBIA S.A
515,CHEPLARPHARM ARZNEIMITTEL GMBH
516,CIBA GEIGY AG.
517,CIFAR SAS.
518,CINCINNATI FORMA LTDA.
519,CIPLALIMITED.
520,CLARIS INJECTABLES LIMITED
521,COMPANÑIA DISTRIBUIDORA L T K LTDA (COMDISLAK LTDA
522,COMPLAN FOODS LIMITED
523,CONSTANZA LUCIA PIESCHACON CELIS
524,CORPAUL
525,CORPORACION BONIMA. SAS DE C.V.
526,COSMEFARMA LICOL SAS.
527,CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA.
528,CULTIVOS LOPEZ URIBE SAS
529,CURASAM PHARMA GMBH
530,DALAN KIMYA END
531,DATA PHARMACEUTICAL SERVICE SAS.
532,DE CARLO E HIJOS LTDA
533,DECACOOP SAS
534,DEEPAK PRODUCTS INC
535,DEL PHARMACEUTICALS INC.
536,DENTMART LTDA
537,DEPOSITO DE DROGAS PARIS LTDA
538,DERMACARE SAS
539,DERMO  COSMETICA LTDA.
540,DESLTASELECT GMBH
541,DIANA CÁRDENAS QUINTERO
542,DIETESYN SAS
543,DINAFARMA SAS DE C.V.
544,DISHER COLOMBIANA LIMITADA
545,DONGAPHARMACEUTICAL CO. LTD
546,DROCOLOMBIA LTDA
547,DROGAS CONTINENTE VETERINA SAS
548,DROGERIA LOS ANDES LTDA.
549,DRUG PHARMACEUTICAL LTDA
550,DUPONT PHARMACEUTICALS COMPANY
551,E. R SQUIBB & SON INTERAMERICAN CORPORATION
552,ECZACIBASI LLAÇ SANAYI VE TICARET A.S.
553,EDENIA SAS
554,EDGAR CARDONA BARRIOS PROPIETARIO DEL ESTABLECIMIENTO DE COMERCIO TRIUNPHARMA
555,EDUARDO MOYANO MEDINA
556,EDWAR JAVIER BELTRAN
557,EFFIK S.A
558,EFRAIN MENDEZ & CIA LTDA.
559,EJECUTORA DE RENDIMIENTO TOTAL DE PRODUCTOS VETERINARIOS EJERTOL SAS
560,ELANEX PHARMA (IOM)LTD
561,ELANPHARMA LIMITED
562,ELIXYM BIOPHARMACEUTICAL SAS
563,ELIZABETH ALVARADO DE BARRIOS
564,ELOINA RAMIREZ DE BOTERO
565,ELVETIUM SAS
566,EMPRESA COLOMBIANA DE PRODUCTOS VETERINARIOS SAS  VECOL SAS
567,EQUIPHARMA SAS
568,ERIOCHEM S.A
569,ESPINCOL S.C.I
570,ESPLENDOR LTDA.
571,ESSEX FARMACEUTICA SAS
572,ETHNORFARMACEUTICA SAS
573,EUROCEPT INTERNATIONAL B.V.
574,EUROCOSMETICOS LTDA. BOGOTA
575,EUROPACK SYSTEM LTDA
576,EURORESEARCH S.R.L.
577,EXPOFARMA LTDA.
578,FABIO ANTONIO OSORIO MEJIA
579,FAGRON COLOMBIA SAS
580,FALAT LTDA.
581,FANNY LEZMA PEREZ
582,FANUEL FARMACEUTICASAS.
583,FARBELL SAS.
584,FARLEY HEALTH PRODUCTS LTD.
585,FARVICAL LTDA.
